Dataset,Scheduler,Lbeta,Ubeta,Steps,LR,Batch Size,NLL Score
circles,linear,0.005,0.105,10,0.05,100,tensor(1.5493)
circles,linear,0.005,0.105,50,0.05,100,tensor(2.7573)
circles,linear,0.005,0.105,100,0.05,100,tensor(3.2356)
circles,linear,0.005,0.105,150,0.05,100,tensor(3.5400)
circles,linear,0.005,0.105,200,0.05,100,tensor(3.5128)
circles,sigmoid,0.005,0.105,10,0.05,100,tensor(1.1250)
circles,sigmoid,0.005,0.105,50,0.05,100,tensor(2.7895)
circles,sigmoid,0.005,0.105,100,0.05,100,tensor(3.9669)
circles,sigmoid,0.005,0.105,150,0.05,100,tensor(1.9230)
circles,sigmoid,0.005,0.105,200,0.05,100,tensor(1.7230)
circles,cosine,0.005,0.105,10,0.05,100,tensor(1.0476)
circles,cosine,0.005,0.105,50,0.05,100,tensor(2.8072)
circles,cosine,0.005,0.105,100,0.05,100,tensor(4.1307)
circles,cosine,0.005,0.105,150,0.05,100,tensor(5.0829)
circles,cosine,0.005,0.105,200,0.05,100,tensor(2.2705)
circles,linear,0.005,0.05,10,0.05,100,N/A
circles,linear,0.005,0.05,50,0.05,100,N/A
circles,linear,0.005,0.05,10,0.05,100,tensor(1.0669)
circles,linear,0.005,0.05,50,0.05,100,tensor(0.9703)
circles,linear,0.005,0.05,100,0.05,100,tensor(0.9702)
circles,linear,0.005,0.05,150,0.05,100,tensor(0.9773)
circles,linear,0.005,0.05,200,0.05,100,tensor(0.9899)
circles,sigmoid,0.005,0.05,10,0.05,100,tensor(1.0626)
circles,sigmoid,0.005,0.05,50,0.05,100,0.9436554312705994
circles,sigmoid,0.005,0.05,100,0.05,100,0.9408839344978333
circles,sigmoid,0.005,0.05,150,0.05,100,0.9710353016853333
circles,sigmoid,0.005,0.05,200,0.05,100,0.9675200581550598
circles,cosine,0.005,0.05,10,0.05,100,1.0567822456359863
circles,cosine,0.005,0.05,50,0.05,100,0.9851556420326233
circles,cosine,0.005,0.05,100,0.05,100,0.9655802845954895
